Draft,Pick,First,Last,Full,Year,POS,School,Power 5,NPPG,NRPG,NAPG,NBPG,NSPG,N3PT,N3PA,WS,CPPG,CRPG,CAPG,CBPG,CSPG,C3PT
2006,2,LaMarcus,Aldridge,LaMarcus Aldridge,SO,PF,Texas,B,23.4,11.1,2.6,1.2,1,0.352,105,11.1,15,9.2,0.5,2,1.4,0
2006,3,Adam,Morrison,Adam Morrison,JR,SF,Gonzaga,M,14.2,4.8,2.7,0.3,0.5,0.337,258,0,28.1,5.5,1.7,0.3,1.1,0.428
2006,4,Tyrus,Thomas,Tyrus Thomas,FR,PF,LSU,P,10.8,6.4,1.2,1.9,1.2,0.375,8,4.6,12.3,9.2,1.3,3.1,1,1
2006,5,Shelden,Williams,Shelden Williams,SR,PF,Duke,B,5.5,6,0.6,0.7,0.8,0.5,4,2.2,18.8,10.7,1.1,3.8,1.7,0.333
2006,6,Brandon,Roy,Brandon Roy,SR,SG,Washington,P,22.6,4.7,5.8,0.3,1.2,0.377,220,13.5,20.2,5.6,4.1,0.8,1.4,0.402
2006,7,Randy,Foye,Randy Foye,SR,SG,Villanova,P,16.3,3.3,4.3,0.5,1,0.41,434,4.6,20.5,5.8,3,0.6,1.4,0.35
2006,8,Rudy,Gay,Rudy Gay,SO,SF,Connecticut,B,21.1,6.8,3.7,1.1,1.7,0.396,144,6.4,15.2,6.4,2.1,1.6,1.8,0.318
2006,9,Patrick,O'Bryant,Patrick O'Bryant,SO,C,Bradley,M,2.6,1.7,0.6,0.5,0.4,0,2,0.3,13.4,8.3,0.8,2.9,0.9,0
2006,11,JJ,Redick,JJ Redick,SR,SG,Duke,B,16.4,2.3,3.8,0.1,0.8,0.437,458,6.7,26.8,2,2.6,0,1.4,0.421
2006,12,Hilton,Armstrong,Hilton Armstrong,SR,C,Connecticut,B,4.8,3.1,0.6,0.6,0.5,0.5,4,1.5,9.7,6.6,0.7,3.1,0.6,0.5
2006,14,Ronnie,Brewer,Ronnie Brewer,JR,SG,Arkansas,P,13.7,3.7,2.7,0.4,1.7,0.303,76,7.8,18.4,4.8,3.3,0.5,2.6,0.338
2006,15,Cedric,Simmons,Cedric Simmons,SO,PF,NC State,P,2.9,2.5,0.3,0.5,0.2,0,0,0.3,11.8,6.3,1.7,2.5,0.7,1
2006,16,Rodney,Carney,Rodney Carney,SR,SF,Memphis,M,7.2,2.1,0.5,0.4,0.7,0.35,226,1.6,17.2,4.3,1.3,0.7,1.3,0.391
2006,17,Shawne,Williams,Shawne Williams,FR,SF,Memphis,M,7.1,4.6,0.9,0.8,0.6,0.401,212,2.5,13.2,6.2,1.9,1.4,1.4,0.312
2006,19,Quincy,Douby,Quincy Douby,JR,SG,Rutgers,P,4.8,1.2,0.9,0.2,0.4,0.394,335,0,25.4,4.3,3.1,0.8,1.8,0.401
2006,20,Renaldo,Balkman,Renaldo Balkman,JR,SF,South Carolina,P,4.9,4.3,0.6,0.6,0.9,0.286,7,2.8,9.6,6.3,1.9,1.3,1.7,0.308
2006,21,Rajon,Rondo,Rajon Rondo,SO,PG,Kentucky,B,13.7,6.4,11.7,0.2,2.3,0.314,86,9.9,11.2,6.1,4.9,0.1,2,0.273
2006,22,Marcus,Williams,Marcus Williams,JR,PG,Connecticut,B,6.8,2.1,3.3,0.1,0.5,0.38,142,0.2,12.3,3.9,8.6,0.2,0.9,0.4
2006,23,Josh,Boone,Josh Boone,JR,C,Connecticut,B,8.2,7.3,0.8,0.9,0.5,0,0,3.7,10.3,7,0.6,2,0.4,0
2006,24,Kyle,Lowry,Kyle Lowry,SO,PG,Villanova,P,20.7,5.1,6.8,0.6,2.3,0.38,500,11.7,11,4.3,3.7,0.2,2.3,0.444
2006,25,Shannon,Brown,Shannon Brown,JR,SG,Michigan State,P,11,2.7,1.8,0.4,1,0.362,188,3.4,17.2,4.4,2.7,0.1,1.5,0.39
2006,26,Jordan,Farmar,Jordan Farmar,SO,PG,UCLA,B,10.4,2.5,5,0.2,0.9,0.44,125,3.9,13.5,2.6,5.1,0.2,1.1,0.333
2006,28,Maurice,Ager,Maurice Ager,SR,SG,Michigan State,P,2.2,0.7,0.3,0.1,0.1,0.333,15,-0.3,19.3,4.1,2.5,0.3,0.7,0.376
2006,29,Mardy,Collins,Mardy Collins,SR,PG,Temple,M,5.2,2.2,2.3,0.2,0.6,0.419,31,0,16.8,4.7,4,0.2,2.8,0.307
2007,1,Greg,Oden,Greg Oden,FR,C,Ohio State,B,11.1,8.5,0.9,2.3,0.4,0,0,4.6,15.7,9.6,0.7,3.3,0.6,0
2007,2,Kevin,Durant,Kevin Durant,FR,SF,Texas,B,32,8,5.5,1.3,1.4,0.416,334,19.2,25.8,11.1,1.3,1.8,1.8,0.404
2007,3,Al,Horford,Al Horford,JR,PF,Florida,P,18.6,10.2,3.5,1.5,1.1,0.339,115,10.9,13.2,9.5,2.2,1.8,0.7,0
2007,4,Mike,Conley,Mike Conley,FR,PG,Ohio State,B,17.2,3.4,6.5,0.3,2.2,0.406,217,9.9,11.3,3.4,6.1,0.3,2.2,0.304
2007,5,Jeff,Green,Jeff Green,JR,SF,Georgetown,P,16.9,6.7,2,0.9,1.3,0.385,182,6.6,14.3,6.4,3.2,1.2,0.8,0.375
2007,7,Corey,Brewer,Corey Brewer,JR,SG,Florida,P,13,3.7,2.4,0.4,1.9,0.346,237,5.2,13.2,4.7,2.9,0.4,1.9,0.336
2007,8,Brandan,Wright,Brandan Wright,FR,PF,North Carolina,B,9.1,4.3,0.6,1.4,0.7,0,3,6.1,14.7,6.2,1,1.8,1,0
2007,9,Joakim,Noah,Joakim Noah,JR,PF,Florida,P,12.6,11.3,5.4,2.1,1.2,0,5,11.2,12,8.4,2.3,1.8,1.1,1
2007,10,Spencer,Hawes,Spencer Hawes,FR,C,Washington,P,13.2,8.3,3,1.4,0.6,0.416,308,4.5,14.9,6.4,1.9,1.7,0.5,0.333
2007,11,Acie,Law,Acie Law,SR,PG,Texas A&M,P,4.3,1.2,2,0.1,0.6,0.333,12,0.7,18.1,3.3,5,0,1.1,0.458
2007,12,Thaddeus,Young,Thaddeus Young,FR,SF,Georgia Tech,P,17.9,9.2,2.3,0.7,2.1,0.348,138,7.4,14.4,4.9,2,0.4,1.3,0.419
2007,13,Julian,Wright,Julian Wright,SO,SF,Kansas,B,4.4,2.8,1.1,0.4,0.8,0.417,24,1.7,12,7.8,2.2,1.3,1.4,0.231
2007,14,Al,Thornton,Al Thornton,SR,SF,Florida State,P,16.8,5.2,1.5,0.9,0.8,0.331,130,2.2,19.7,7.2,0.7,1.1,1.5,0.444
2007,15,Rodney,Stuckey,Rodney Stuckey,SO,SG,Eastern Washington,M,16.6,3.8,5.2,0.2,1.4,0.39,141,5,24.6,4.7,5.5,0.3,2.4,0.267
2007,16,Nick,Young,Nick Young,JR,SG,USC,P,17.9,2.7,1.5,0.3,0.7,0.406,170,2.8,17.5,4.6,1.4,0.3,0.7,0.44
2007,17,Sean,Williams,Sean Williams,JR,C,Boston College,P,5.6,4.4,0.5,1.5,0.4,0,1,2.5,12.1,6.9,1.2,5,1.4,0
2007,19,Javaris,Crittenton,Javaris Crittenton,FR,PG,Georgia Tech,P,5.6,2.6,2.4,0.1,0.6,0.27,37,0.1,14.4,3.7,5.8,0.1,2,0.356
2007,20,Jason,Smith,Jason Smith,JR,PF,Colorado State,M,9.9,5.8,1.7,1,0.5,0.357,42,2.2,16.8,10.1,1.9,1.6,0.5,0
2007,21,Daequan,Cook,Daequan Cook,FR,SG,Ohio State,B,9.1,3,1.3,0.2,0.5,0.422,154,2.2,9.8,4.3,1,0.3,0.7,0.415
2007,22,Jared,Dudley,Jared Dudley,SR,SF,Boston College,P,12.7,4.6,2.6,0.3,1.1,0.458,262,5.6,19,8.3,3,0.3,1.4,0.443
2007,23,Wilson,Chandler,Wilson Chandler,SO,SF,DePaul,P,15.3,6.1,2.1,1.3,1,0.413,126,3.9,14.6,6.9,1.4,1.4,0.6,0.333
2007,25,Morris,Almond,Morris Almond,SR,SG,Rice,M,3.7,2,0.5,0.2,0.2,0.294,17,0.1,26.4,6.6,1.2,0.8,1.2,0.456
2007,26,Aaron,Brooks,Aaron Brooks,SR,PG,Oregon,P,19.6,2.6,5.3,0.2,0.8,0.398,545,5.5,17.7,4.3,4.3,0.2,1.4,0.404
2007,27,Arron,Afflalo,Arron Afflalo,JR,SG,UCLA,B,18.2,3.7,3.4,0.4,0.6,0.434,249,6.2,16.9,2.8,1.9,0.2,0.6,0.375
2007,29,Alando,Tucker,Alando Tucker,SR,SF,Wisconsin,P,4.6,1.3,0.4,0.2,0.2,0.348,23,0.2,19.9,5.4,2,0.3,0.9,0.325
2008,1,Derrick,Rose,Derrick Rose,FR,PG,Memphis,M,25,4.1,7.9,0.7,1,0.332,385,13.1,14.9,4.5,4.7,0.4,1.8,0.337
2008,2,Michael,Beasley,Michael Beasley,FR,PF,Kansas State,P,19.2,6.4,2.2,0.7,1,0.407,81,4.6,26.2,12.4,1.2,1.6,1.3,0.379
2008,3,OJ,Mayo,OJ Mayo,FR,SG,USC,P,18.5,3.8,4.4,0.4,1.2,0.407,349,5.6,20.7,4.5,3.3,0.4,1.5,0.409
